Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
3127,3128,11/25/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Albu Hyatt,Aguanga,California,US,17130
3128,3127,11/25/2006,Corporal,24,U.S. Marine,Hostile,hostile fire,Habbaniyah,Austin,Texas,US,17130
3129,3131,11/26/2006,Captain,31,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,New Haven,Connecticut,US,17131
3130,3130,11/26/2006,1st Lieutenant,25,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Houston,Texas,US,17131
3131,3129,11/26/2006,Private,20,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Bossier City,Louisiana,US,17131
3132,3132,11/26/2006,Sergeant,44,U.S. Army,Non-hostile,NA,Taji,Bronx,New York,US,17131
3133,3134,11/27/2006,Major,34,U.S. Air Force,Non-hostile,airplane crash,Baghdad,Litchfield Park,Arizona,US,17132
3134,3133,11/27/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire - sniper fire,Ramadi,Carlstadt,New Jersey,US,17132
3135,3135,11/28/2006,Corporal,32,U.S. Army,Hostile,hostile fire - small arms fire,Bayji,Mobile,Alabama,US,17133
3136,3136,11/28/2006,Corporal,21,U.S. Army,Hostile,hostile fire - IED attack,Hit,Hartselle,Alabama,US,17133
3137,3137,11/29/2006,Private 1st Class,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Richmond,Kentucky,US,17134
3138,3139,11/30/2006,Staff Sergeant,39,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Tampa,Florida,US,17135
3139,3138,11/30/2006,Staff Sergeant,35,U.S. Army,Hostile,hostile fire - IED attack,Taji,Omaha,Nebraska,US,17135
3140,3140,12/1/2006,Staff Sergeant,28,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Livingston,Mississippi,US,17136
3141,3144,12/2/2006,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Vesper,Wisconsin,US,17137
3142,3143,12/2/2006,Sergeant,20,U.S. Army National Guard,Hostile,hostile fire - IED attack,Fallujah,Red Lake Falls,Minnesota,US,17137
3143,3142,12/2/2006,Specialist,22,U.S. Army National Guard,Hostile,hostile fire - IED attack,Fallujah,Maplewood,Minnesota,US,17137
3144,3141,12/2/2006,Sergeant,26,U.S. Army,Hostile,hostile fire - IED attack,Taji,Townsend,Delaware,US,17137
3145,3150,12/3/2006,Corporal,24,U.S. Marine,Non-hostile,helicopter crash,Al Anbar Province,Virginia Beach,Virginia,US,17138
3146,3149,12/3/2006,Major,39,U.S. Marine,Non-hostile,helicopter crash,Al Anbar Province,Grosse Pointe Park,Michigan,US,17138
3147,3148,12/3/2006,Captain,31,U.S. Air Force,Non-hostile,helicopter crash,Al Anbar Province,Hollandale,Mississippi,US,17138
3148,3151,12/3/2006,Captain,35,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Westerville,Ohio,US,17138
3149,3146,12/3/2006,Specialist,25,U.S. Army,Hostile,hostile fire - IED attack,Balad,Fulton,New York,US,17138
3150,3147,12/3/2006,Private,21,U.S. Army,Hostile,hostile fire - IED attack,Balad,Amarillo,Texas,US,17138
3151,3145,12/3/2006,Corporal,20,U.S. Army,Hostile,hostile fire - IED attack,Taji,Bapchule,Arizona,US,17138
3152,3152,12/4/2006,Sergeant,22,U.S. Army,Non-hostile,helicopter crash,Al Anbar Province,Finger,Tennessee,US,17139
3153,3154,12/4/2006,Sergeant,23,U.S. Army National Guard,Non-hostile,vehicle accident,An Nasiriyah,Maple Grove,Minnesota,US,17139
3154,3155,12/4/2006,Sergeant,26,U.S. Army,Hostile,hostile fire - IED attack,Ba  qubah,Thibodaux,Louisiana,US,17139
3155,3153,12/4/2006,Private,19,U.S. Army,Hostile,hostile fire - grenade,Baghdad,Knox,Pennsylvania,US,17139
3156,3157,12/4/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Ramadi,Shepherdsville,Kentucky,US,17139
3157,3156,12/4/2006,Hospitalman,24,U.S. Navy,Hostile,hostile fire,Ramadi,Longmont,Colorado,US,17139
3158,3159,12/4/2006,Private 1st Class,21,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Miami,Florida,US,17139
3159,3158,12/4/2006,Private 1st Class,31,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Philadelphia,Pennsylvania,US,17139
3160,3161,12/5/2006,Specialist,26,U.S. Army,Hostile,hostile fire - IED attack,"Brooke Army Med Center, TX",Marysville,Washington,US,17140
3161,3160,12/5/2006,Sergeant,36,U.S. Army,Hostile,hostile fire - indirect fire,Ramadi,Longwood,Florida,US,17140
3162,3172,12/6/2006,Lance Corporal,21,U.S. Marine,Non-hostile,NA,Fallujah,Oxford,Alabama,US,17141
3163,3170,12/6/2006,Private 1st Class,24,U.S. Army,Hostile,hostile fire - IED attack,Hawijah,Cheektowaga,New York,US,17141
3164,3169,12/6/2006,Specialist,26,U.S. Army,Hostile,hostile fire - IED attack,Hawijah,Pflugerville,Texas,US,17141
3165,3168,12/6/2006,Corporal,23,U.S. Army,Hostile,hostile fire - IED attack,Hawijah,Conover,North Carolina,US,17141
3166,3167,12/6/2006,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Hawijah,Chalan Pago,Guam,US,17141
3167,3166,12/6/2006,Sergeant,21,U.S. Army,Hostile,hostile fire - IED attack,Hawijah,Sibley,Louisiana,US,17141
3168,3171,12/6/2006,Sergeant,24,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Brooklyn,New York,US,17141
3169,3165,12/6/2006,Captain,32,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Lockport,Illinois,US,17141
3170,3164,12/6/2006,Specialist,22,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Westerville,Ohio,US,17141
3171,3162,12/6/2006,Major,34,U.S. Marine Reserve,Hostile,hostile fire - IED attack,Ramadi,Coupeville,Washington,US,17141
3172,3173,12/6/2006,Specialist,25,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Stokesdale,North Carolina,US,17141
3173,3163,12/6/2006,Corporal,22,U.S. Marine,Hostile,hostile fire - small arms fire,Ramadi,Presque Isle,Maine,US,17141
3174,3174,12/7/2006,Staff Sergeant,26,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Bangor,Maine,US,17142
3175,3176,12/7/2006,Staff Sergeant,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Manhattan,Kansas,US,17142
3176,3175,12/7/2006,Specialist,27,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Redding,California,US,17142
3177,3177,12/7/2006,Lance Corporal,22,U.S. Marine Reserve,Hostile,hostile fire,Fallujah,Jackson,Michigan,US,17142
3178,3178,12/9/2006,1st Lieutenant,25,U.S. Marine,Hostile,hostile fire - IED attack,Al Taqaddum,Truckee,Nevada,US,17144
3179,3182,12/10/2006,Private 1st Class,24,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Fort Bragg,North Carolina,US,17145
3180,3181,12/10/2006,Specialist,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Freeport,Texas,US,17145
3181,3180,12/10/2006,Sergeant,26,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Tualatin,Oregon,US,17145
3182,3179,12/10/2006,Specialist,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,La Crescenta,California,US,17145
3183,3183,12/10/2006,Staff Sergeant,37,U.S. Army National Guard,Non-hostile,illness - heart attack,Diwaniyah,Leitchfield,Kentucky,US,17145
3184,3184,12/11/2006,Master Sergeant,39,U.S. Marine,Non-hostile,helicopter crash,Al Anbar Province,Vicksburg,Mississippi,US,17146
3185,3187,12/11/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire - IED attack,Khaldiyah,Marana,Arizona,US,17146
3186,3186,12/11/2006,Corporal,25,U.S. Marine,Hostile,hostile fire - IED attack,Khaldiyah,Aiken,South Carolina,US,17146
3187,3185,12/11/2006,Lance Corporal,23,U.S. Marine,Hostile,hostile fire - IED attack,Khaldiyah,Greenfield,Iowa,US,17146
3188,3189,12/12/2006,Major,47,U.S. Army,Non-hostile,suicide,Baghdad,St. Louis,Missouri,US,17147
3189,3188,12/12/2006,Sergeant,29,U.S. Army,Hostile,hostile fire - RPG attack,Mosul,Bloomfield,Pennsylvania,US,17147
3190,3190,12/14/2006,Lance Corporal,22,U.S. Marine,Hostile,hostile fire - IED attack,Albu Hyatt,St. Louis,Missouri,US,17149
3191,3191,12/14/2006,Lance Corporal,20,U.S. Marine,Hostile,hostile fire - small arms fire,Fallujah,Kingwood,Texas,US,17149
3192,3192,12/14/2006,Staff Sergeant,59,U.S. Army National Guard,Non-hostile,illness,Thermopolis,Thermopolis,Wyoming,US,17149
3193,3194,12/15/2006,Staff Sergeant,43,U.S. Army,Hostile,hostile fire - IED attack,"Brooke Army Med Center, TX",Hilo,Hawaii,US,17150
3194,3193,12/15/2006,Private 1st Class,22,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Willow Park,Texas,US,17150
3195,3198,12/16/2006,Lance Corporal,19,U.S. Marine,Hostile,hostile fire - sniper fire,Fallujah,Leadville,Colorado,US,17151
3196,3197,12/16/2006,Private 1st Class,19,U.S. Army,Hostile,hostile fire - IED attack,Taji,Newark,New Jersey,US,17151
3197,3196,12/16/2006,Staff Sergeant,30,U.S. Army,Hostile,hostile fire - IED attack,Taji,Pueblo,Colorado,US,17151
3198,3195,12/16/2006,Specialist,22,U.S. Army,Hostile,hostile fire - IED attack,Taji,Wolfeboro Falls,New Hampshire,US,17151
3199,3199,12/17/2006,Private 1st Class,19,U.S. Army,Hostile,hostile fire - IED attack,Taji,Colorado Springs,Colorado,US,17152
3200,3201,12/18/2006,Captain,27,U.S. Marine,Hostile,hostile fire - mortar attack,Ar Rutbah,West Bend,Wisconsin,US,17153
3201,3200,12/18/2006,Staff Sergeant,34,U.S. Army,Non-hostile,vehicle rollover,Taji,Fort Worth,Texas,US,17153
3202,3202,12/19/2006,Corporal,20,U.S. Marine,Hostile,hostile fire,Fallujah,Merced,California,US,17154
3203,3203,12/19/2006,Specialist,21,U.S. Army,Hostile,hostile fire - IED attack,Hit,Brighton,Michigan,US,17154
3204,3206,12/20/2006,Sergeant,27,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Helena,Montana,US,17155
3205,3204,12/20/2006,Specialist,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Big Spring,Texas,US,17155
3206,3205,12/20/2006,Staff Sergeant,25,U.S. Army,Hostile,"hostile fire - small arms fire, IED",Baghdad,Lafayette,Louisiana,US,17155
3207,3207,12/20/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire,Ramadi,Opelousas,Louisiana,US,17155
3208,3211,12/21/2006,Lance Corporal,19,U.S. Marine,Hostile,hostile fire - IED attack,Ah Nahiyah,Fontana,California,US,17156
3209,3210,12/21/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire - IED attack,Ah Nahiyah,Sanford,Michigan,US,17156
3210,3209,12/21/2006,Lance Corporal,25,U.S. Marine,Hostile,hostile fire - IED attack,Ah Nahiyah,Hawthorne,California,US,17156
3211,3208,12/21/2006,Hospitalman,21,U.S. Navy,Hostile,hostile fire - IED attack,Ah Nahiyah,Ennis,Texas,US,17156
3212,3212,12/22/2006,Specialist,22,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Quinton,Oklahoma,US,17157
3213,3214,12/23/2006,Sergeant,28,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Dansville,Michigan,US,17158
3214,3213,12/23/2006,Specialist,27,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Glendora,California,US,17158
3215,3219,12/23/2006,Specialist,21,U.S. Army,Non-hostile,NA,Balad,Stockton,California,US,17158
3216,3218,12/23/2006,Corporal,25,U.S. Army,Hostile,hostile fire - indirect fire,Buhritz,Corpus Christi,Texas,US,17158
3217,3217,12/23/2006,Sergeant,21,U.S. Army National Guard,Hostile,hostile fire - IED attack,Salman Pak,Grand Rapids,Michigan,US,17158
3218,3216,12/23/2006,Private 1st Class,21,U.S. Army National Guard,Hostile,hostile fire - IED attack,Salman Pak,Howell,Michigan,US,17158
3219,3215,12/23/2006,Private,20,U.S. Army,Hostile,hostile fire - IED attack,Salman Pak,Saginaw,Michigan,US,17158
3220,3220,12/24/2006,Lance Corporal,21,U.S. Marine,Hostile,hostile fire - IED attack,Albu Hyatt,Lake Jackson,Texas,US,17159
3221,3221,12/24/2006,Private,21,U.S. Army,Hostile,hostile fire - indirect fire,Hit,Racine,Wisconsin,US,17159
3222,3225,12/25/2006,Sergeant 1st Class,37,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Winder,Georgia,US,17160
3223,3224,12/25/2006,Sergeant,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Levittown,Pennsylvania,US,17160
3224,3222,12/25/2006,Sergeant,24,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Cattaraugus,New York,US,17160
3225,3228,12/25/2006,Specialist,29,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Dallas,Texas,US,17160
3226,3227,12/25/2006,Private 1st Class,19,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Saint Johns,Michigan,US,17160
3227,3226,12/25/2006,Captain,29,U.S. Army,Hostile,hostile fire - IED attack,Balad,Marietta,Georgia,US,17160
3228,3223,12/25/2006,Private,25,U.S. Army,Non-hostile,NA,Ramadi,Hamilton,New Jersey,US,17160
3229,3230,12/26/2006,Corporal,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Spencer,Wisconsin,US,17161
3230,3229,12/26/2006,Sergeant,25,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Collegeville,Pennsylvania,US,17161
3231,3231,12/26/2006,Specialist,21,U.S. Army,Non-hostile,vehicle rollover,Baghdad,Lebanon,Indiana,US,17161
3232,3238,12/27/2006,Private,20,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Jacksonville,Florida,US,17162
3233,3237,12/27/2006,Sergeant,28,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Petersburg,Florida,US,17162
3234,3236,12/27/2006,Private 1st Class,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Dickinson,Texas,US,17162
3235,3232,12/27/2006,Specialist,21,U.S. Army,Non-hostile,vehicle rollover,Baghdad,Chester,South Carolina,US,17162
3236,3234,12/27/2006,di??kareivis,24,Latvian Army,Hostile,hostile fire - IED attack,Diwaniyah,Not reported yet,Not reported yet,LAT,17162
3237,3233,12/27/2006,di??kareivis,25,Latvian Army,Hostile,hostile fire - IED attack,Diwaniyah,Not reported yet,Not reported yet,LAT,17162
3238,3235,12/27/2006,Lance Corporal,24,U.S. Marine,Hostile,hostile fire,Habbaniyah,Lenoir City,Tennessee,US,17162
3239,3239,12/27/2006,Sergeant,24,U.S. Army,Hostile,hostile fire - IED attack,Ramadi,Mont Alto,Pennsylvania,US,17162
3240,3243,12/28/2006,Specialist,22,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Spring,Texas,US,17163
3241,3240,12/28/2006,Sergeant,35,British Army,Hostile,hostile fire - IED attack,Basra,Liverpool,England,UK,17163
3242,3245,12/28/2006,Corporal,22,U.S. Marine Reserve,Hostile,hostile fire - small arms fire,Fallujah,Vassar,Michigan,US,17163
3243,3242,12/28/2006,Lance Corporal,20,U.S. Marine Reserve,Hostile,hostile fire - small arms fire,Fallujah,Silverwood,Michigan,US,17163
3244,3241,12/28/2006,Lance Corporal,20,U.S. Marine Reserve,Hostile,hostile fire - small arms fire,Fallujah,Paris,Tennessee,US,17163
3245,3246,12/28/2006,Sergeant,22,U.S. Marine,Non-hostile,NA,San Diego (Naval Medical Center),Tucson,Arizona,US,17163
3246,3244,12/28/2006,Specialist,21,U.S. Army,Hostile,hostile fire - IED attack,Taji,South Gate,California,US,17163
3247,3247,12/29/2006,Private 1st Class,20,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Arlington Heights,Illinois,US,17164
3248,3248,12/29/2006,Sergeant,25,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Rancho Cucamonga,California,US,17164
3249,3250,12/30/2006,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Hixon,Tennessee,US,17165
3250,3249,12/30/2006,Private,21,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Marysville,Pennsylvania,US,17165
3251,3251,12/31/2006,Seaman,23,U.S. Navy,Non-hostile,natural causes,Arabian Gulf,Linwood,North Carolina,US,17166
3252,3253,12/31/2006,Corporal,20,U.S. Army,Hostile,hostile fire - IED attack,Ba  qubah,Ottumwa,Iowa,US,17166
3253,3252,12/31/2006,Corporal,20,U.S. Army,Hostile,hostile fire - IED attack,Ba  qubah,Grand Prairie,Texas,US,17166
3254,3254,12/31/2006,Private 1st Class,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Kenai,Alaska,US,17166
3255,3255,1/1/2007,Sergeant,26,U.S. Army Reserve,Hostile,hostile fire - IED attack,Baghdad,Pittsburgh,Pennsylvania,US,17167
3256,3256,1/4/2007,Staff Sergeant,28,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Wasilla,Alaska,US,17170
3257,3258,1/5/2007,Major,47,U.S. Army Reserve,Hostile,hostile fire - IED attack,Fallujah,Brandenburg,Kentucky,US,17171
3258,3259,1/6/2007,Specialist,21,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,West Memphis,Arkansas,US,17172
3259,3257,1/6/2007,Corporal,23,U.S. Army,Non-hostile,vehicle rollover,Baghdad,Vancouver,Washington,US,17172
3260,3262,1/7/2007,Senior Airman,24,U.S. Air Force,Hostile,hostile fire - IED attack,Baghdad,Galesburg,Illinois,US,17173
3261,3261,1/7/2007,Senior Airman,23,U.S. Air Force,Hostile,hostile fire - IED attack,Baghdad,New Castle,Delaware,US,17173
3262,3260,1/7/2007,Technical Sergeant,35,U.S. Air Force,Hostile,hostile fire - IED attack,Baghdad,Tamarac,Florida,US,17173
3263,3265,1/7/2007,Corporal,22,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Salisbury,Maryland,US,17173
3264,3264,1/7/2007,Corporal,21,U.S. Army,Hostile,hostile fire,Balad,Peoria,Arizona,US,17173
3265,3263,1/7/2007,Sergeant,36,British Army,Non-hostile,vehicle accident,Maysan Province,Nottingham,England,UK,17173
3266,3266,1/9/2007,Private 1st Class,19,U.S. Army,Hostile,hostile fire - small arms fire,Ba  qubah,Sabine Pass,Texas,US,17175
3267,3268,1/9/2007,Sergeant,24,U.S. Army,Hostile,hostile fire - IED attack,Fallujah,St. Paul,Minnesota,US,17175
3268,3267,1/9/2007,Private 1st Class,20,U.S. Army,Hostile,hostile fire - small arms fire,Ramadi,Cathedral City,California,US,17175
3269,3269,1/13/2007,Kingsman (private),21,British Army,Hostile,hostile fire - small arms fire,Basra,Warrington,England,UK,17179
3270,3270,1/13/2007,Sergeant,28,U.S. Army,Hostile,hostile fire - IED attack,Muqdadiyah,Boston,Massachusetts,US,17179
3271,3271,1/14/2007,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Redmond,Washington,US,17180
3272,3272,1/14/2007,Sergeant,32,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Irving,Texas,US,17180
3273,3277,1/15/2007,Specialist,23,U.S. Army,Hostile,hostile fire - small arms fire,Karmah,Casper,Wyoming,US,17181
3274,3276,1/15/2007,2nd Lieutenant,23,U.S. Army,Hostile,hostile fire - IED attack,Mosul,Irvine,California,US,17181
3275,3275,1/15/2007,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Mosul,Prairie Village,Kansas,US,17181
3276,3274,1/15/2007,Sergeant,29,U.S. Army,Hostile,hostile fire - IED attack,Mosul,Ewing,Kentucky,US,17181
3277,3273,1/15/2007,Corporal,21,U.S. Army,Hostile,hostile fire - IED attack,Mosul,Wisconsin Rapids,Wisconsin,US,17181
3278,3278,1/16/2007,Specialist,19,U.S. Army,Hostile,hostile fire - grenade,Ramadi,Richwood,Texas,US,17182
3279,3280,1/17/2007,Petty Officer 1st Class,27,U.S. Navy,Non-hostile,NA,Bahrain,Cambridge,Illinois,US,17183
3280,3279,1/17/2007,Petty Officer 2nd Class,22,U.S. Navy,Non-hostile,in hostile fire zone,Um Qasr,Brooklyn,New York,US,17183
3281,3281,1/18/2007,Corporal,24,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Jacksonville,Florida,US,17184
3282,3284,1/19/2007,Lance Corporal,20,U.S. Marine Reserve,Hostile,hostile fire,Al Anbar Province,Lawton,Michigan,US,17185
3283,3283,1/19/2007,Corporal,23,U.S. Marine Reserve,Hostile,hostile fire,Fallujah,San Marcos,Texas,US,17185
3284,3282,1/19/2007,Sergeant 1st Class,38,U.S. Army,Hostile,hostile fire - IED attack,Mosul,El Paso,Texas,US,17185
3285,3306,1/20/2007,Corporal,21,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Spokane,Washington,US,17186
3286,3297,1/20/2007,1st Sergeant,48,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Little Rock,Arkansas,US,17186
3287,3296,1/20/2007,Captain,31,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Pflugerville,Texas,US,17186
3288,3295,1/20/2007,Corporal,29,U.S. Army,Hostile,helicopter crash,Baghdad,Decatur,Georgia,US,17186
3289,3294,1/20/2007,Staff Sergeant,43,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,St. Thomas,Virgin Islands,US,17186
3290,3293,1/20/2007,Lieutenant Colonel,50,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,St. Croix,Virgin Islands,US,17186
3291,3292,1/20/2007,Sergeant 1st Class,43,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Little Rock,Arkansas,US,17186
3292,3291,1/20/2007,Sergeant Major,46,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Polk City,Iowa,US,17186
3293,3290,1/20/2007,Colonel,46,U.S. Army,Hostile,helicopter crash,Baghdad,Not reported yet,Oklahoma,US,17186
3294,3289,1/20/2007,Colonel,45,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Stafford,Virginia,US,17186
3295,3288,1/20/2007,Staff Sergeant,37,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Midlothian,Virginia,US,17186
3296,3287,1/20/2007,Command Sergeant Major,49,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Davidsonville,Maryland,US,17186
3297,3286,1/20/2007,Major,40,U.S. Army National Guard,Hostile,helicopter crash,Baghdad,Little Rock,Arkansas,US,17186
3298,3305,1/20/2007,Private 1st Class,20,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Keizer,Oregon,US,17186
3299,3285,1/20/2007,Private 1st Class,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Henderson,Texas,US,17186
3300,3303,1/20/2007,Sergeant,21,U.S. Army,Hostile,hostile fire - IED attack,Bayji,Nankin,Ohio,US,17186
3301,3300,1/20/2007,Captain,31,U.S. Army Reserve,Hostile,"hostile fire - mortar, small arms fire",Karbala,Temecula,California,US,17186
3302,3302,1/20/2007,1st Lieutenant,25,U.S. Army,Hostile,"hostile fire - small arms fire, grenades",Karbala,Vernon,Nebraska,US,17186
3303,3301,1/20/2007,Private 1st Class,20,U.S. Army,Hostile,"hostile fire - small arms fire, grenades",Karbala,Trafford,Alabama,US,17186
3304,3299,1/20/2007,Specialist,22,U.S. Army,Hostile,"hostile fire - small arms fire, grenades",Karbala,Gonzales,Louisiana,US,17186
3305,3298,1/20/2007,Private,25,U.S. Army,Hostile,"hostile fire - small arms fire, grenades",Karbala,Cortland,New York,US,17186
3306,3310,1/20/2007,Specialist,22,U.S. Army,Hostile,hostile fire - IED attack,Karmah,Vista,California,US,17186
3307,3309,1/20/2007,Specialist,28,U.S. Army,Hostile,hostile fire - IED attack,Karmah,Manchester,New Hampshire,US,17186
3308,3308,1/20/2007,Sergeant,26,U.S. Army,Hostile,hostile fire - IED attack,Karmah,Corvallis,Oregon,US,17186
3309,3307,1/20/2007,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Karmah,Sunrise,Florida,US,17186
3310,3312,1/21/2007,Lance Corporal,20,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Santa Ana Pueblo,New Mexico,US,17187
3311,3311,1/21/2007,Lance Corporal,19,U.S. Marine,Hostile,hostile fire - small arms fire,Al Anbar Province,Chetek,Wisconsin,US,17187
3312,3313,1/21/2007,Specialist,23,U.S. Army National Guard,Hostile,hostile fire - IED attack,Baghdad,Grand Rapids,Michigan,US,17187
3313,3304,1/21/2007,Private,18,British Army,Hostile,hostile fire - IED attack,Basra,Sunderland,England,UK,17187
3314,3315,1/22/2007,Staff Sergeant,34,U.S. Army,Hostile,hostile fire,Karmah,San Diego,California,US,17188
3315,3314,1/22/2007,Specialist,24,U.S. Army,Hostile,hostile fire - IED attack,Mosul,Huber Heights,Ohio,US,17188
3316,3316,1/23/2007,Sergeant,24,U.S. Marine,Hostile,hostile fire,Al Taqaddum,Chagrin Falls,Ohio,US,17189
3317,3318,1/23/2007,Staff Sergeant,26,U.S. Army,Non-hostile,injury,Balad,Cleveland,Ohio,US,17189
3318,3317,1/23/2007,Sergeant,21,U.S. Marine,Hostile,hostile fire,Fallujah,Windthorst,Texas,US,17189
3319,3320,1/24/2007,Sergeant 1st Class,31,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,McClure,Pennsylvania,US,17190
3320,3319,1/24/2007,Staff Sergeant,27,U.S. Army,Hostile,hostile fire - small arms fire,Baghdad,Houston,Texas,US,17190
3321,3322,1/25/2007,Corporal,26,U.S. Marine Reserve,Hostile,hostile fire - small arms fire,Al Anbar Province,Milford,Michigan,US,17191
3322,3321,1/25/2007,Private 1st Class,25,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,San Antonio,Texas,US,17191
3323,3323,1/25/2007,Private 1st Class,23,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Hayward,California,US,17191
3324,3324,1/25/2007,Sergeant,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Centerville,Massachusetts,US,17191
3325,3325,1/26/2007,Private 1st Class,21,U.S. Army,Hostile,hostile fire - IED attack,Ba  qubah,Candor,New York,US,17192
3326,3326,1/26/2007,Major,44,U.S. Army Reserve,Hostile,hostile fire - IED attack,Muqdadiyah,Yakima,Washington,US,17192
3327,3330,1/27/2007,Lance Corporal,20,U.S. Marine,Hostile,hostile fire - small arms fire,Ramadi,Thousand Oaks,California,US,17193
3328,3331,1/27/2007,Sergeant,24,U.S. Army,Hostile,hostile fire - IED attack,Taji,Elma,Washington,US,17193
3329,3329,1/27/2007,Corporal,21,U.S. Army,Hostile,hostile fire - IED attack,Taji,San Antonio,Texas,US,17193
3330,3328,1/27/2007,Private 1st Class,19,U.S. Army,Hostile,hostile fire - IED attack,Taji,Long Beach,California,US,17193
3331,3327,1/27/2007,Private 1st Class,25,U.S. Army,Hostile,hostile fire - IED attack,Taji,Neenah,Wisconsin,US,17193
3332,3333,1/28/2007,Chief Warrant Officer,36,U.S. Army,Hostile,helicopter crash,Najaf ,Orange City,California,US,17194
3333,3332,1/28/2007,Captain,28,U.S. Army,Hostile,helicopter crash,Najaf ,Fogelsville,Pennsylvania,US,17194
3334,3334,1/28/2007,Specialist,37,U.S. Army Reserve,Non-hostile,vehicle rollover,Tallil,Sun Valley,California,US,17194
3335,3335,1/29/2007,Lance Corporal,19,U.S. Marine,Hostile,hostile fire,Al Anbar Province,Vancouver,Washington,US,17195
